City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,-20.99,49,20,3.6,GL,1706978382
1,college,64.8569,-147.8028,-38.64,63,100,0.0,US,1706978382
2,bethel,41.3712,-73.414,4.0,58,0,5.66,US,1706978357
3,klyuchi,52.2667,79.1667,-5.53,84,100,7.2,RU,1706978382
4,lospalos,-8.5186,127.0025,23.67,92,83,2.17,TL,1706978382
5,blackmans bay,-43.0167,147.3167,16.07,87,100,1.74,AU,1706978382
6,cole harbour,44.6724,-63.4751,-1.29,93,100,8.05,CA,1706978199
7,badger,64.8,-147.5333,-38.69,58,0,0.0,US,1706978383
8,wailua homesteads,22.0669,-159.378,20.44,56,100,12.86,US,1706978383
9,port mathurin,-19.6833,63.4167,26.71,73,19,7.4,MU,1706978383
10,vilyuchinsk,52.9306,158.4028,-17.85,83,21,4.67,RU,1706978383
11,waitangi,-43.9535,-176.5597,14.34,74,21,10.72,NZ,1706978383
12,hammerfest,70.6634,23.6821,-3.75,80,75,5.66,NO,1706978383
13,farafangana,-22.8167,47.8333,24.82,74,54,3.49,MG,1706978384
14,puerto natales,-51.7236,-72.4875,15.25,38,20,10.8,CL,1706978384
15,yellowknife,62.456,-114.3525,-15.8,95,100,8.49,CA,1706978384
16,vila velha,-20.3297,-40.2925,29.97,80,75,4.63,BR,1706978384
17,aoulef,26.9667,1.0833,20.33,18,0,6.52,DZ,1706978384
18,thompson,55.7435,-97.8558,-2.91,100,100,4.12,CA,1706978367
19,opuwo,-18.0607,13.84,21.81,81,100,3.11,NA,1706978385
20,edinburgh of the seven seas,-37.0676,-12.3116,16.21,72,30,10.14,SH,1706978385
21,grand falls-windsor,48.9332,-55.6649,-2.5,91,100,2.24,CA,1706978385
22,antonio enes,-16.2325,39.9086,26.61,84,55,3.98,MZ,1706978385
23,jamestown,42.097,-79.2353,3.34,82,100,3.6,US,1706978385
24,qaqortoq,60.7167,-46.0333,-17.52,69,4,3.42,GL,1706978385
25,isafjordur,66.0755,-23.124,-3.98,86,100,1.54,IS,1706978386
26,gunjur,13.2019,-16.7339,37.04,13,3,4.63,GM,1706978386
27,ghat,24.9647,10.1728,15.32,18,0,3.57,LY,1706978386
28,west island,-12.1568,96.8225,27.99,83,75,5.14,CC,1706978386
29,hermanus,-34.4187,19.2345,26.0,64,71,5.9,ZA,1706978386
30,walin,27.9833,83.7667,10.34,55,15,1.85,NP,1706978386
31,grytviken,-54.2811,-36.5092,8.06,95,100,4.95,GS,1706978386
32,antofagasta,-23.65,-70.4,25.6,65,6,3.63,CL,1706978303
33,kuraymah,18.55,31.85,18.87,17,20,4.73,SD,1706978259
34,pangody,65.85,74.4859,-18.43,98,96,2.84,RU,1706978289
35,san patricio,28.017,-97.5169,18.98,61,41,6.67,US,1706978387
36,greenwood,34.1668,-82.1165,11.27,50,0,3.6,US,1706978387
37,codrington,-38.2667,141.9667,14.14,92,20,1.78,AU,1706978387
38,road town,18.4167,-64.6167,28.02,57,20,2.57,VG,1706978173
39,mar del plata,-38.0023,-57.5575,26.08,58,1,10.28,AR,1706978222
40,buurhakaba,2.8026,44.0781,28.55,55,53,8.89,SO,1706978388
41,east london,-33.0153,27.9116,22.52,83,0,6.17,ZA,1706978388
42,tukrah,32.5341,20.5791,13.89,71,21,2.9,LY,1706978388
43,bandon,51.7469,-8.7425,12.77,96,100,5.16,IE,1706978388
44,mana,5.6592,-53.7767,29.05,69,88,4.01,GF,1706978388
45,port-aux-francais,-49.35,70.2167,7.56,77,52,2.52,TF,1706978388
46,turpan,42.9333,89.1667,0.27,46,31,0.82,CN,1706978389
47,avarua,-21.2078,-159.775,26.03,89,100,4.12,CK,1706978389
48,iqaluit,63.7506,-68.5145,-25.15,69,20,3.09,CA,1706978389
49,tamanrasset,22.785,5.5228,20.95,9,0,7.2,DZ,1706978389
50,talnakh,69.4865,88.3972,-14.33,96,100,4.14,RU,1706978389
51,pallisa,1.145,33.7094,25.44,45,66,0.68,UG,1706978389
52,luanda,-8.8368,13.2343,30.0,70,20,5.66,AO,1706978389
53,alofi,-19.0595,-169.9187,24.94,100,100,1.03,NU,1706978352
54,callao,-12.0667,-77.15,27.16,65,0,6.69,PE,1706978390
55,bafra,41.5678,35.9069,5.58,81,98,1.12,TR,1706978390
56,punta arenas,-53.15,-70.9167,11.06,62,40,8.23,CL,1706978390
57,amos,48.5669,-78.1162,-4.46,82,98,3.23,CA,1706978390
58,udachny,66.4167,112.4,-31.32,91,87,1.18,RU,1706978390
59,marshfield,44.6689,-90.1718,-1.51,93,100,3.6,US,1706978190
60,al burayqah,30.4062,19.5739,15.96,70,28,4.22,LY,1706978391
61,anadyr,64.75,177.4833,-20.72,77,0,3.0,RU,1706978391
62,kodiak,57.79,-152.4072,-5.27,86,100,0.0,US,1706978391
63,lebu,-37.6167,-73.65,17.6,66,3,9.51,CL,1706978391
64,madang,-5.2246,145.7966,24.79,94,100,2.74,PG,1706978391
65,leninskoye,41.7589,69.3864,-1.01,80,100,2.86,KZ,1706978391
66,puerto ayora,-0.7393,-90.3518,30.98,79,56,4.89,EC,1706978391
67,adamstown,-25.066,-130.1015,24.54,76,87,1.72,PN,1706978391
68,harper,4.375,-7.7169,29.47,69,100,4.29,LR,1706978392
69,margate,51.3813,1.3862,12.17,80,98,4.02,GB,1706978190
70,whitehorse,60.7161,-135.0538,-28.57,69,40,2.06,CA,1706978392
71,naryn,41.4287,75.9911,-11.57,72,100,1.99,KG,1706978392
72,alice springs,-23.7,133.8833,29.75,28,75,3.6,AU,1706978392
73,biloela,-24.4167,150.5,21.96,85,0,0.5,AU,1706978175
74,hovd,48.0056,91.6419,-19.06,88,9,0.84,MN,1706978392
75,ust-nera,64.5667,143.2,-28.0,100,99,1.91,RU,1706978393
76,kudahuvadhoo,2.6708,72.8944,27.88,81,87,4.88,MV,1706978393
77,wynyard,-41.0,145.7167,15.7,91,77,1.81,AU,1706978393
78,dalbandin,28.8947,64.4101,15.26,24,43,7.18,PK,1706978393
79,prainha,-1.8,-53.48,32.96,49,73,2.73,BR,1706978393
80,hasaki,35.7333,140.8333,6.22,64,100,2.98,JP,1706978393
81,kuta,-8.7233,115.1723,27.97,83,40,5.81,ID,1706978393
82,longyearbyen,78.2186,15.6401,-10.09,73,0,7.2,SJ,1706978394
83,uliastay,47.7417,96.8444,-11.58,96,100,1.28,MN,1706978394
84,yelizovo,53.1873,158.3805,-17.92,60,20,4.0,RU,1706978394
85,asola,45.2211,10.4136,15.03,68,21,1.41,IT,1706978394
86,tralee,52.2704,-9.7026,10.14,100,100,1.03,IE,1706978394
87,springbok,-29.6643,17.8865,27.49,44,69,5.68,ZA,1706978394
88,nova vicosa,-17.8919,-39.3719,28.89,65,59,3.94,BR,1706978394
89,prince rupert,54.3161,-130.3201,1.83,86,100,5.14,CA,1706978395
90,san antonio de pale,-1.4014,5.6325,28.57,73,52,3.77,GQ,1706978283
91,yuanping,38.7153,112.7575,-3.43,52,94,1.01,CN,1706978395
92,aasiaat,68.7098,-52.8699,-30.31,97,40,2.58,GL,1706978395
93,fort mcmurray,56.7268,-111.381,-3.23,93,100,4.12,CA,1706978269
94,invercargill,-46.4,168.35,9.45,81,95,3.13,NZ,1706978395
95,beihai,21.4833,109.1,20.46,93,27,5.4,CN,1706978395
96,lihue,21.9789,-159.3672,20.77,55,100,12.86,US,1706978396
97,happy valley-goose bay,53.3168,-60.3315,-17.83,60,20,1.03,CA,1706978396
98,sisimiut,66.9395,-53.6735,-20.0,88,94,2.28,GL,1706978396
99,howrah,22.5892,88.3103,23.94,64,0,1.54,IN,1706978396
100,puerto baquerizo moreno,-0.9,-89.6,27.55,94,40,4.12,EC,1706978396
101,el aioun,34.5832,-2.5061,16.04,48,0,2.8,MA,1706978396
102,papatowai,-46.5619,169.4708,9.2,71,86,4.12,NZ,1706978396
103,tonj,7.2737,28.6822,29.23,20,89,1.94,SS,1706978397
104,iskateley,67.6803,53.1512,-12.77,86,24,6.26,RU,1706978397
105,pimentel,-6.8367,-79.9342,30.16,54,0,3.6,PE,1706978397
106,susuman,62.7833,148.1667,-25.01,94,100,1.79,RU,1706978397
107,la passe,45.5549,-0.8967,7.13,86,24,3.25,FR,1706978397
108,west valley,46.5921,-120.6051,5.91,81,100,0.0,US,1706978397
109,kamar mushani,32.8439,71.3669,11.82,63,100,1.95,PK,1706978397
110,chikwawa,-16.0335,34.8009,25.55,77,59,1.41,MW,1706978398
111,west sayville,40.7279,-73.0976,4.54,62,20,5.66,US,1706978365
112,ushuaia,-54.8,-68.3,9.79,66,75,3.09,AR,1706978398
113,new norfolk,-42.7826,147.0587,16.72,90,100,0.17,AU,1706978398
114,cefalu,38.0386,14.0229,12.08,70,1,1.34,IT,1706978398
115,tindouf,27.6711,-8.1474,21.25,7,0,6.17,DZ,1706978398
116,andergrove,-21.0833,149.1833,25.72,75,8,2.98,AU,1706978122
117,tartu,58.3806,26.7251,2.4,92,100,5.66,EE,1706978398
118,queenstown,-31.8976,26.8753,25.72,46,92,2.18,ZA,1706978390
119,mejit,10.2753,170.8646,26.39,80,38,9.45,MH,1706978399
120,port alfred,-33.5906,26.891,23.43,90,37,0.45,ZA,1706978399
121,tiksi,71.6872,128.8694,-35.86,100,100,2.36,RU,1706978399
122,coracao de jesus,-16.6853,-44.365,28.22,45,44,3.54,BR,1706978399
123,ancud,-41.8697,-73.8203,15.54,60,71,3.35,CL,1706978399
124,khandyga,62.6667,135.6,-42.58,100,72,1.07,RU,1706978126
125,palmer,42.1584,-72.3287,2.86,59,40,7.2,US,1706978400
126,tashtagol,52.7657,87.8894,-17.07,100,96,1.47,RU,1706978400
127,north bend,43.4065,-124.2243,6.59,87,20,2.57,US,1706978400
128,burang,30.25,81.1667,-9.57,83,40,2.54,CN,1706978400
129,portland,45.5234,-122.6762,5.99,93,40,1.54,US,1706977760
130,lima,-12.0432,-77.0282,26.14,65,0,6.69,PE,1706977919
131,coronel suarez,-37.4547,-61.9334,34.11,16,14,6.83,AR,1706978401
132,aswan,24.0934,32.907,18.61,22,0,2.06,EG,1706978401
133,port elizabeth,-33.918,25.5701,24.5,91,100,3.09,ZA,1706978401
134,dzhalagash,45.0833,64.6667,-3.86,88,100,2.5,KZ,1706978402
135,cove,7.221,2.3402,36.82,13,51,1.82,BJ,1706978402
136,fruitland,38.3221,-75.6202,7.03,61,40,4.12,US,1706978402
137,charters towers,-20.1,146.2667,24.12,83,100,4.18,AU,1706978402
138,hawaiian paradise park,19.5933,-154.9731,18.73,94,100,6.69,US,1706978403
139,gadzhiyevo,69.2551,33.3362,-6.05,79,99,12.07,RU,1706978403
140,constantia,44.1833,28.65,6.38,70,52,5.25,RO,1706978403
141,constitucion,-35.3333,-72.4167,22.74,56,4,8.77,CL,1706978404
142,caleta de carquin,-11.0925,-77.6267,25.75,76,81,4.1,PE,1706978404
143,utrik,11.2278,169.8474,26.31,77,25,9.71,MH,1706978404
144,kuanda,56.3161,116.0806,-29.33,96,66,0.57,RU,1706978405
145,dashiqiao,40.6373,122.5025,-13.3,90,32,1.8,CN,1706978405
146,sragen,-7.4264,111.0222,24.55,92,100,1.35,ID,1706978405
147,rasskazovo,52.6714,41.9033,-5.25,95,100,5.18,RU,1706978405
148,sao vicente,-23.9631,-46.3919,31.1,60,75,1.03,BR,1706978406
149,ankazobe,-18.3167,47.1167,19.01,91,94,3.28,MG,1706978406
150,rio grande,-32.035,-52.0986,33.06,63,7,4.38,BR,1706978281
151,zeya,53.75,127.2667,-29.17,99,12,1.34,RU,1706978406
152,inirida,3.8653,-67.9239,29.25,80,77,0.91,CO,1706978406
153,bredasdorp,-34.5322,20.0403,24.81,71,87,6.47,ZA,1706978407
154,minas de marcona,-15.2119,-75.1103,23.39,62,70,4.4,PE,1706978407
155,remire-montjoly,4.9167,-52.2667,31.02,70,75,5.66,GF,1706978407
156,saudarkrokur,65.7461,-19.6394,-5.81,71,25,7.05,IS,1706978407
157,albany,42.6001,-73.9662,1.07,68,56,2.24,US,1706978139
158,mitu,1.1983,-70.1733,31.56,59,79,1.57,CO,1706978408
159,khost,33.3395,69.9204,3.68,92,99,0.77,AF,1706978408
160,petropavlovsk-kamchatsky,53.0452,158.6483,-18.67,85,20,4.0,RU,1706978408
161,siliana,36.085,9.3708,10.94,78,45,2.51,TN,1706978408
162,birjand,32.8663,59.2211,1.26,55,20,3.09,IR,1706978320
163,olonkinbyen,70.9221,-8.7187,-5.48,67,100,8.31,SJ,1706978409
164,revda,56.801,59.9303,-10.28,95,100,3.29,RU,1706978409
165,muli,2.9167,73.5667,28.09,80,75,4.93,MV,1706978409
166,essaouira,31.5125,-9.77,23.72,31,29,3.6,MA,1706978251
167,lake albert,-35.1667,147.3833,22.14,28,98,1.75,AU,1706978409
168,yoloten,37.2989,62.3597,3.09,79,82,4.56,TM,1706978409
169,margaret river,-33.95,115.0667,16.86,58,48,6.82,AU,1706978410
170,kapuskasing,49.4169,-82.4331,-1.95,68,20,4.63,CA,1706978410
171,ribeira grande,38.5167,-28.7,18.22,82,20,6.69,PT,1706978410
172,gold camp,33.2937,-111.3043,11.47,74,18,2.69,US,1706978410
173,manokwari,-0.8667,134.0833,25.76,82,42,1.78,ID,1706978411
174,ciudad melchor muzquiz,27.8833,-101.5167,20.64,26,0,8.8,MX,1706978411
175,gomez farias,23.05,-99.15,30.09,16,0,5.11,MX,1706978411
176,la quinta,33.6634,-116.31,15.65,66,0,0.89,US,1706978411
177,greenville,35.6127,-77.3663,9.01,56,0,4.63,US,1706978411
178,fortuna,40.5982,-124.1573,6.63,95,100,5.66,US,1706978412
179,dobryanka,58.4619,56.4165,-8.92,92,100,5.47,RU,1706978412
180,carnarvon,-24.8667,113.6333,23.52,82,3,10.77,AU,1706978412
181,dudinka,69.4058,86.1778,-14.07,94,100,5.36,RU,1706978412
182,ola,59.5833,151.2833,-19.56,79,99,4.53,RU,1706978413
183,hermosillo,29.0667,-110.9667,16.06,59,0,1.03,MX,1706977920
184,stanley,54.868,-1.6985,8.77,78,20,7.2,GB,1706978413
185,ternate,0.8,127.4,26.4,81,24,3.46,ID,1706978413
186,lang son,21.8333,106.7333,18.52,96,64,1.56,VN,1706978413
187,beyneu,45.3167,55.2,0.9,94,100,4.95,KZ,1706978413
188,atafu village,-8.5421,-172.5159,28.78,77,100,8.58,TK,1706978414
189,rennertshofen,48.75,11.0667,7.23,81,75,5.14,DE,1706978414
190,georgetown,5.4112,100.3354,28.96,82,20,1.03,MY,1706978414
191,al jumum,21.6169,39.6981,19.96,45,27,5.31,SA,1706978414
192,sarauli,28.5,79.1,15.69,36,88,3.99,IN,1706978414
193,nicoya,10.1483,-85.452,31.76,51,44,2.36,CR,1706978178
194,nemuro,43.3236,145.575,-5.52,69,29,6.36,JP,1706978415
195,kone,-21.0595,164.8658,25.95,91,99,2.4,NC,1706978415
196,taoudenni,22.6783,-3.9836,25.76,8,5,6.27,ML,1706978415
197,lorengau,-2.0226,147.2712,27.54,78,55,1.56,PG,1706978416
198,ta`u,-14.2336,-169.5144,27.9,81,100,4.45,AS,1706978416
199,arauco,-37.2463,-73.3175,24.92,33,3,4.66,CL,1706978416
200,petauke,-14.2426,31.3253,21.7,75,85,1.98,ZM,1706978417
201,mushie,-3.0167,16.9,28.1,65,70,2.54,CD,1706978417
202,sung noen,14.8992,101.8207,28.64,63,21,2.52,TH,1706978418
203,camrose,53.0168,-112.8353,0.51,91,100,6.05,CA,1706978418
204,hola,51.5377,23.1902,9.1,79,100,8.55,PL,1706978418
205,askoy,60.4092,5.226,5.42,81,75,6.69,NO,1706978419
206,kotlas,61.2611,46.6556,-14.26,99,94,1.1,RU,1706978396
207,ouadda,8.0777,22.4007,26.79,17,68,2.57,CF,1706978159
208,moyynkum,44.2914,72.9469,-6.75,88,71,2.99,KZ,1706978419
209,pisco,-13.7,-76.2167,26.68,78,94,4.12,PE,1706978254
210,fale old settlement,-9.3852,-171.2468,28.63,80,100,8.63,TK,1706978420
211,non sang,16.8687,102.5664,24.5,47,7,1.49,TH,1706978420
212,guerrero negro,27.9769,-114.0611,16.63,57,0,6.82,MX,1706978421
213,aghstafa,41.1189,45.4539,3.51,59,68,2.46,AZ,1706978422
214,bilibino,68.0546,166.4372,-28.15,76,0,3.36,RU,1706978422
215,adrar,20.5022,-10.0711,26.14,8,6,6.19,MR,1706978422
216,mhamid,29.82,-5.72,20.17,14,84,5.12,MA,1706978424
217,aykhal,66.0,111.5,-27.93,64,83,1.67,RU,1706978424
218,shache,38.4167,77.2406,-2.95,77,70,1.59,CN,1706978425
219,tocoa,15.6833,-86.0,26.79,48,1,0.4,HN,1706978425
220,al kharijah,25.4514,30.5464,13.14,30,0,4.12,EG,1706978426
221,mata-utu,-13.2816,-176.1745,26.78,90,100,8.85,WF,1706978426
222,sanctuary point,-35.1114,150.629,22.64,87,77,3.13,AU,1706978308
223,ramapuram,13.1167,79.2,21.9,81,67,1.68,IN,1706978427
224,ribadesella,43.4614,-5.0596,13.86,86,18,2.05,ES,1706978428
225,vanimo,-2.6741,141.3028,25.5,91,88,2.5,PG,1706978428
226,fauske,67.2588,15.3918,0.02,86,90,3.59,NO,1706978429
227,aguas vermelhas,-15.7472,-41.46,29.27,39,95,2.65,BR,1706978429
228,pauini,-7.7136,-66.9764,29.45,70,98,1.08,BR,1706978429
229,nambiyur,11.3667,77.3333,27.77,61,30,3.34,IN,1706978430
230,kudat,6.8837,116.8477,26.96,89,98,2.68,MY,1706978430
231,keflavik,64.0049,-22.5624,-1.76,86,75,8.23,IS,1706978431
232,tura,25.5198,90.2201,13.15,33,0,1.7,IN,1706978193
233,nikolayevsk-on-amure,53.1406,140.73,-24.79,98,21,1.81,RU,1706978431
234,mount gambier,-37.8333,140.7667,13.45,94,3,1.36,AU,1706978415
235,bikenibeu village,1.3673,173.1241,28.98,89,75,4.63,KI,1706978432
236,ubari,26.5921,12.7805,13.25,26,0,3.23,LY,1706978432
237,derebucak,37.3918,31.5092,1.7,87,70,1.65,TR,1706978432
238,vadso,70.0744,29.7487,-1.91,86,100,7.72,NO,1706978433
239,kyzylorda,44.8528,65.5092,-9.99,85,40,2.0,KZ,1706978433
240,magadan,59.5667,150.8,-20.56,77,99,4.0,RU,1706978433
241,geraldton,-28.7667,114.6,21.23,73,75,10.8,AU,1706978433
242,kiruna,67.8557,20.2251,-5.49,74,0,6.17,SE,1706978334
243,castillos,-34.1667,-53.8333,31.76,35,64,4.9,UY,1706978161
244,kununurra,-15.7667,128.7333,28.99,89,9,3.09,AU,1706978295
245,harstad,68.799,16.5293,-1.58,95,100,4.04,NO,1706978434
246,hobyo,5.3505,48.5268,26.18,79,17,6.3,SO,1706978435
247,chonchi,-42.6128,-73.8092,20.19,38,39,1.22,CL,1706978435
248,norwell,42.1618,-70.7939,2.27,71,100,4.12,US,1706978435
249,moree,-29.4667,149.85,26.36,69,13,7.57,AU,1706978436
250,crane,31.3974,-102.3501,11.98,37,0,14.5,US,1706978436
251,westport,41.1415,-73.3579,4.38,53,0,5.66,US,1706978189
252,prestea,5.4327,-2.1428,32.92,50,89,4.38,GH,1706978436
253,bardai,11.65,7.2333,27.13,11,4,5.55,NG,1706978436
254,masumbwe,-3.6333,32.1833,20.55,86,22,0.68,TZ,1706978436
255,yuzhno-kurilsk,44.0306,145.8556,-4.24,71,95,6.42,RU,1706978437
256,sao tome,0.3365,6.7273,29.01,71,63,1.61,ST,1706978437
257,rustaq,23.3908,57.4244,20.59,49,14,0.07,OM,1706978437
258,nantucket,41.2835,-70.0995,1.08,80,100,9.26,US,1706978144
259,novodvinsk,64.4165,40.8122,-5.14,98,79,3.1,RU,1706978437
260,llanes,43.4198,-4.7549,12.89,86,13,1.56,ES,1706978437
261,yarmouth,41.7057,-70.2286,0.57,80,100,11.18,US,1706978438
262,tegal,-6.8694,109.1402,25.0,93,100,2.59,ID,1706978438
263,port lincoln,-34.7333,135.8667,19.15,68,0,1.46,AU,1706978438
264,chateau-du-loir,47.6949,0.4185,10.16,74,99,2.66,FR,1706978438
265,grantsville,40.5999,-112.4644,4.77,75,99,1.27,US,1706978438
266,cill airne,52.05,-9.5167,10.03,100,100,1.03,IE,1706978439
267,mariental,-24.6333,17.9667,34.65,16,59,2.62,NA,1706978439
268,bubaque,11.2833,-15.8333,26.16,68,0,6.28,GW,1706978439
269,sunne,59.8376,13.143,4.23,67,7,6.11,SE,1706978439
270,copala,16.65,-98.9833,28.54,55,2,3.3,MX,1706978439
271,southeast arcadia,27.1863,-81.8521,20.04,69,0,1.34,US,1706978439
272,saskatoon,52.1168,-106.6345,1.99,100,100,2.06,CA,1706978270
273,nguigmi,14.2495,13.1092,23.98,18,3,5.57,NE,1706978440
274,quilali,13.567,-86.026,30.98,35,2,3.57,NI,1706978440
275,longford,53.7333,-7.8,7.38,85,75,3.88,IE,1706978440
276,kita,13.0349,-9.4895,35.44,9,0,1.78,ML,1706978440
277,praia da vitoria,38.7333,-27.0667,18.75,77,40,4.69,PT,1706978440
278,kourou,5.1552,-52.6478,31.03,67,78,3.66,GF,1706978440
279,colonia,50.9333,6.95,11.52,88,75,5.66,DE,1706978168
280,chinde,26.8418,88.0763,7.78,67,29,2.11,NP,1706978441
281,kirakira,-10.4544,161.9205,27.0,83,97,4.35,SB,1706978441
282,sitka,57.0531,-135.33,0.94,80,100,3.09,US,1706978441
283,delmas,18.5447,-72.3028,23.4,88,75,4.63,HT,1706978441
